Last Name,First Name,Full name,Maiden Name (Last),Maiden Name,Birth Date,Death Date,Birth place,Death place,Gender,Associated Monthly Meeting,Notes
Absalom,Doris Helena,"Absalom, Doris Helena",,,1902-07-21,1978-10-28,"Portsmouth, England","Petersfield, England",female,Petersfield MM,She joined Friends in about 1959 and served as an Elder and was Clerk for 14 years and also served on the Meeting for Sufferings.
Absalom,John Knight,"Absalom, John Knight",,,1881-11-14,1968-05-23,England,"Plymouth, England",male,West Devon MM,He studied at Sibford Friends School.  He joined the Friends Ambulance Unit in 1915.  He married Frances Mary ? in 1916 or 1917 and they had a son Harold John.  He served as Clerk of West Devon Monthly Meeting for 15 years and he helped found the Educational Settlement called Swarthmore and served as treasurer for 23 years and as Registrar for many years.  
Adams,John,"Adams, John",,,,1731-08-21,England,England,male,Owstwick MM,"He was born ""of believing parents"" about 1674 and raised as a Friend.  At age about 25 he became a Minister and served for about 32 years.  He traveled to Scotland, Holland and Germany and 3 times to Ireland and several times to Wales and the South and West of England. "
Adams,John,"Adams, John",,,,1703-12-29,New England,"Moorestown, New Jersey",male,,"He married Elizabeth ? and they had children.  He became a Minister and in ca. 1692 came from Flushing, Long Island to West Jersey and settled at Pensauken Creek, near Moorestown.  He held meetings in his house and it was called ""Adams' Meeting"".  In 1701 he traveled to Maryland and Virginia with John Estaugh and in 1703 with Jedidiah Allen, of Shrewsbury, New Jersey, along the New Jersey seacoast.  From 1695 to 1701 he was a Justice of the peace in Burlington County."
Adams,"John Till, M.D.","Adams, John Till, M.D.",,,,,"Bristol, England",England,male,,He was born in 1748 and died in ca. 1786.  He married Ann ? and came to America.  He returned to England in 1772 with Samuel Emlen and John Woolman.
Adams,Kathleen May,"Adams, Kathleen May",,,,1981-10-08,"Bristol, England","Bradford, England",female,Bristol & Frenchay MM,She was born about 1911 and studied at Bristol University in History.  She married Conrad Gordon Adams and they both joined Bristol & Frenchay Monthly Meeting.  Later they moved to Bradford on Avon Meeting and she served as Clerk of the Overseers.
Adamson,William,"Adamson, William",,,,,England,England,male,,"He lived in Liverpool, England.  In 1656 he was imprisoned on Lancaster jail and was also present at a dispute between priests and Friends held at Preston."
Adkins,John,"Adkins, John",,,1713-10-28,1766-08-17,"Adderbury, Oxfordshire, England","Warwick, England",male,Warwickshire Middle MM,"s/o Edward and Rachel Adkins.  At age about 26, he became a Minister.  He visited several counties and was zealous in visiting families both in his own and other Monthly Meetings.  He served as an Elder.  He was buried on 20 August at Friends Burying Ground, Warwick."
Adlam,Edith Mary,"Adlam, Edith Mary",,,,1973-03-20,"Somerset, England","Wells, Somerset, England",female,Street MM,"She was born in 1892 and her parents were Members of the Church of England.  She studied at Sunnyhill, Bruton; Day Training College for Women at Bristol and became a teacher and taught at Oakhill, near London.  In 1919 she went to China and taught for 21 years.  She joined Friends in 1940 in China due to friendship with Alice Peet.  After 1946 she lived in Wells and attended Street Meeting.  She served as an Elder of the Meeting for Sufferings and the Friends Service Council for 15 years until 1963. In 1958 she joined the Women's Peace Caravan, organized by Dora Russell.  In 1963 she again visited China."
Ady,John,"Ady, John",,,,1812-11-17,"Southwark, London, England","London, England",male,Devonshire House MM,"s/o John and Elizabeth Ady, born in ca. 1744.  He marred 1st, Martha Crabb, (d. 3/15/1794), dt/o Benjamin and Christian Crabb, at Gracechurch Street, on 11/29/1769, and they had 7 children.  He married 2nd, Ann Hill, dt/o John and Judith Hill, at Gracechurch Street, on 12/31/1796, and they had a son Robert Hill Ady.  In about   1801 he became a Clerk of a Meeting for Sufferings and he became involved in an act of poor conduct and was ""disowned"" by Devonshire House Monthly Meeting in 1811."
Aggs,Lucy,"Aggs, Lucy",,,,,England,"Thorpe, England",female,,"dt/o Thomas and Lucy (Gurney) Aggs, born in 1789.  She became a Minister in 1822 and a Recorder in 1823.  She served in the Bible Association, Sick Poor Society, Ladies' Branch of the City Mission and from 1827-1839 visited places and families in nearby counties.  She died in 1853, near Norwich."
Aggs,Lucy,"Aggs, Lucy",Gurney,"Gurney, Lucy",1753-08-23,1841-01-13,"Norwich, England","Plea, Norwich, England",female,,dt/o Henry Gurney and Elizabeth (Bartlett).  She married Thomas Aggs in 1775 and they had 10 children.  
Aggs,William Hanbury,"Aggs, William Hanbury",,,1870-08-26,1953-10-30,"Pipbrook, Dorking, England","Little Thakeham, Sussex, England",male,Blue Idol MM,"s/o Thomas and Anna Christy Aggs.  He studied at Uppingham and Trinity College, Cambridge and became a lawyer.  He attended the Meeting for Sufferings and was on the Saffron Walden School Committee for 25 years.  He married Sylvia Marie Thompson in 1906 and they had 3 children.  He served as Clerk of Westminster and Longford Monthly Meeting."
Akehurst,Daniel,"Akehurst, Daniel",,,,,England,Virginia,male,,"He was taken at a Meeting at Hastings, England in 1671 and imprisoned.  He visited New England in 1675 and later moved to Pasquotank County, North Carolina.  He was a valuable and hard-working Minister.  In 1698 Thomas Story was at Daniel's house on Warwick River, Virginia.  He died in November or December, 1699."
Akle,Fareedeh,"Akle, Fareedeh",,,,1976-05-01,Lebanon,"Brummana, Lebanon",female,,"She was born ca. 1879, a Lebanese Friend.  She studied at the Friends Mission School at Brummana and became a teacher.  He served in the High School at Brummana for about 30 years as principal and and teacher of religion.  At age 85 she had to testify in court, but refused to take an oath.  The Muslin Judge accepted her statements without question and thanked her."
Albertson,"Benjamin, Jr.","Albertson, Benjamin, Jr.",,,,,North Carolina,North Carolina,male,Perquimans MM,"s/o Benjamin and Mary Smalls Albertson.  In 1777 he was recommended an Elder and in 1780 was Overseer for Old Neck Meeting.  In 1789 he became Overseer for Suttons Creek Meeting, North Carolina.  From 1781-86 he served as Clerk of North Carolina Yearly Meeting.  He married 1st, Miriam Bell in 1797 and they had children.  He married 2nd, Margaret (Bagley) Nixon, a widow, in 1811, a Member of Suttons Creek Monthly Meeting."
Albrecht,Hans,"Albrecht, Hans",,,,1956-08-28,Germany,"Bad Pyrmont, Germany",male,Pyrmont MM,"He was born ca. 1876 in Hamburg ?, Germany.  He joined Friends in 1927 and became a Clerk and served for 20 years of the Germany Yearly Meeting.  He was quite helpful in the establishment of the International Quaker School in Ommen, Holland.  He visited Friends in America, Great Britain and other countries and attended the Friends World Committee at Richmond, Indiana in 1947 or 1948."
Albrecht,Lisa,"Albrecht, Lisa",,,,1958-05-16,Germany,"Kainzenbad, Germany",female,,She was born ca. 1896.  She was the only Quaker in the West German Parliament.  She visited England for a few weeks in the spring of 1939.
Albright,Arthur,"Albright, Arthur",,,1811-03-12,1900-07-03,"Charlbury, Oxfordshire, England","Chelsea, London, England",male,,"s/o William and Rachel (Tanner) Albright.  He studied at Friends School at Rochester and became a chemist.  He worked for the National Freedman's Aid Union and traveled in England and the United States.  He married Rachel Stacey, dt/o George Stacey, at Tottenham, on 9/14/1848, and they had 8 children.  He was buried at Witton, Birmingham."
Albright,John Marshall,"Albright, John Marshall",,,1815-05-31,1909-01-27,"Charlbury, Oxfordshire, England","Charlbury, Oxfordshire, England",male,Witney MM,"s/o William and Rachel (Tanner) Albright.  He studied at Friends School at Rochester, under John Ford.  He married Caroline Westcombe, (1813-1892), dt/o Samuel Thompson Westcombe, (deceased) at Worcester, on 10/28/1841.  He was recorded a Minister in 1859 at Farrington and he visited Ireland 7 times and nearly every Meeting of Friends in the British Isles.  He supported Total Abstinence and was an opponent of the use of tobacco.  He served for 40 years of the Committee of Sibford School."
Albright,Maria Catharine,"Albright, Maria Catharine",,,1859-02-25,1945-05-27,"Birmingham, England","Finstall, England",female,Warwickshire MM,"dt/o Arthur and Rachel (Stacey) Albright.  She was active with the Adult School work, the Summer School movement, the Women's Settlement in Birmingham and the Selly Oak Colleges.   She visited for the Friends Service Council in Madagascar, India, Lebanon, Palestine and Friends on the Continent and was Chairman from 1927-1934."
Albright,William Arthur,"Albright, William Arthur",,,1853-10-13,1942-07-13,"Birmingham, England","Birmingham, England",male,Warwickshire MM,"s/o Arthur and Rachel (Stacey) Albright.  He studied at Grove House, Tottenham.  He served in the Friends Home Service Committee for 47 years and was treasurer for 31 years.  He supported the Friends Council for International Service and the Friends Foreign Mission Association and later the Friends Service Council, and worked in Pemba.  He attended Bull Street Monthly Meeting in Birmingham and served as an Elder for 50 years.  He married Priscilla Sturge."
Aldam,Thomas,"Aldam, Thomas",,,,,"Warmsworth, Yorkshire, England",England,male,,"He was born in ca. 1616 and died in April 1660.  He married Mary Killam in 1644 and they had children.  He was ""convinced"" in 1651 with his mother, 2 sisters and wife.  He was imprisoned for 2 1/2 years at York Castle.  He traveled to Scotland and Ireland.  He was one of the Valiant Sixty and visited Friends in prisons and laid their cases before the  authorities, including Cromwell.  In 1654 he came up to London with George Fox."
Aldam,Thomas,"Aldam, Thomas",,,1650-03-06,1723-03-17,"Warmsworth, Yorkshire, England","Warmsworth, Yorkshire, England",male,,"s/o Thomas Aldam and Mary Killam.  He married Ann Stacy, (9/7/1654-2/22/1736), dt/o Robert Stacy of London, on 4/26/1671, and they had 6 children.  He became a Minister at age about 24 and visited Scotland in 1694 with John Gratton.  He was imprisoned for 2 1/2  years.  He built a Meeting House at Wandsworth and attended meetings for worship, discipline and those monthly, quarterly and yearly.  He was buried at Warmsworth on 19 March."
Alderson,Alice,"Alderson, Alice",Burton,"Burton, Alice",,1766-08-15,England,"Ravenstonedale, Westmorland, England",female,Sedbergh MM,"She was born ca. 1678 and was ""convinced"" while young.  She married Ralph Alderson, (d. 1/25/1772), of Ravenstonedale, on 5/8/1717, and they had 4 children.  She became a Minister at age about 28.  She visited in England, Scotland and Ireland and in 1733 visited America.  She was interred at Friends Burying Ground, Ravenstonedale, 18 August."
Alderson,John,"Alderson, John",,,1721-10-22,1764-04-26,"Ravenstonedale, Westmorland, England","London, England",male,Sedbergh MM,"s/o Ralph and Alice (Burton) Alderson.  He became a Minister at age about 31 and visited various parts of England and Scotland and Ireland.  He married Alice Thistlethwait, (b. 7/24/1731), dt/o Richard Thistlethwait, at Leayet in Dent, on 5/7/1760, and they had 2 sons.  He visited Friends in London in 1764 with Anthony Mason and fell ill and stayed at Thomas Jackson's.  He was buried at Bunhill Fields, 30 April."
Aldrich,Moses,"Aldrich, Moses",,,,1761-09-09,"Salem, Massachusetts",Massachusetts  ,male,Smithfield MM,"He was born in April 1690 and ca. 1710 became ""convinced"" and in 1715 he became a Minister.  He married and had children.  He made two trips to Barbadoes in 1722 and 1734.  He was given a Certificate in 1739 by Smithfield Monthly Meeting to visit Great Britain and Ireland for 2 years.  "
Alexander,Alfred Tuke,"Alexander, Alfred Tuke",,,1842-12-07,,"Ipswich, England","London, England",male,,"s/o William Henry and Sophia Alexander.  He studied at Bootham School.  He moved to London and for 50 years served with the Bedford Institute Association, which through its branches helped build the membership in the Society of Friends.  He was a member of the Home Mission Committee and the Friends' Foreign Mission Association.  He died in 1920."
Alexander,Ann,"Alexander, Ann",Dillwyn,"Dillwyn, Ann",,1868-04-03,"Walthamstow, Essex, England","Ipswich, England",female,,"dt/o William and Sarah Dillwyn, b. ca. 1784.  She married Richard Dykes Alexander, (1788-1866), a Minister, in 1810.  She became a Minister and did plenty of service among the poor people of the district."
Alexander,Ann,"Alexander, Ann",Tuke,"Tuke, Ann",1767-05-16,1849-09-19,"York, England","Ipswich, England",female,Woodbridge MM,"dt/o William Tuke and Esther.  She studied at Ackworth School for one year and helped her mother at a school in York for girls.  She became a Minister at age about 20 by York Monthly Meeting, and visited Scotland and Ireland with her brother Henry Tuke.  From 1791 to 1794 she worked at Suir Island School in Ireland.  She married William Alexander, (1768-1841), in 1796, of Needham Market in Suffolk, and they had 2 sons.  She traveled to the United States from 1803 to 1805 and visited meetings of Friends.  In 1808 they moved to York and she started ""The Annual Monitor"".  In 1826 she visited Holland and Germany with Hannah and Maria Middleton.  She was interred at Ipswich."
Alexander,Bernard Barton,"Alexander, Bernard Barton",,,1849-10-09,1879-04-04,"Ipswich, Suffolk, England","Adelaide, Australia",male,,"s/o John Biddle Alexander and Anna Sophia (Phillips).  He studied at Bootham School, York.  He was a warm supporter of temperance and taught at Sunday School.  He went to Australia in 1876 and in 1877 visited friends in New South Wales and Victoria."
Alexander,Christopher Edward,"Alexander, Christopher Edward",,,1929-01-25,1953-04-24,England,,male,,He studied at Bootham School and Oxford and became a leading member of the University Friends Society and served as Clerk in his 2nd year.  He worked for more than 2 years in the Friends Ambulance Unit International Service and the Young Friends Central Committee.  He planned to work in Kenya after leaving Oxford and had been accepted provisionally by the Colonial Office.
Alexander,Dykes,"Alexander, Dykes",,,1763-07-14,1849-02-27,"Needham Market, Suffolk, England","Ipswich, Suffolk, England",male,Woodbridge MM,"s/o Dykes Alexander and Martha (Biddle).  He married Hannah Brewster, (1758-2/4/1820), dt/o Richard and Catherine Brewster, at Brandon, Suffolk, on 7/5/1786, and they had 7 children.  He was recorded a Minister by Woodbridge Monthly Meeting in 1791 and traveled in Great Britain and Ireland.  He served as assistant Clerk of London Yearly Meeting in 1807.  He was buried at Ipswich."
Alexander,Edward,"Alexander, Edward",,,1788-04-05,1836-10-09,"Limerick, Ireland","Limerick, Ireland",male,Limerick MM,"s/o Samuel and Deborah Alexander, Members of Friends.  He married Jenepher Fisher of Youghall, in 1817.  He became a Minister in 1831 and served for 5 years.  He visited England and Scotland in 1835."
Alexander,George William,"Alexander, George William",,,1802-04-25,1890-11-24,"Bunhill Row, London, England","Woodhatch, Reigate, England",male,Devonshire House MM,"s/o William and Ann (Barber) Alexander.  He studied at Rochester.  He married 1st, Sarah Cleverly Horsnaill, (d. 1843), dt/o Robert and Sarah Horsnaill, at Rochester, on 2/5/1835, and they had 4 children.  He married 2nd, Catherine Horsnaill, dt/o William Horsnaill, at Dover, on 7/16/1845, and they had one daughter.  He was concerned with the abolition of slavery and the slave trade.  He served as treasurer of the British & Foreign Anti-Slavery Society."
Alexander,Harriette,"Alexander, Harriette",Brown,"Brown, Harriette",1855-05-31,1937-01-25,"Halstead, Essex, England","Worthing, England",female,Lewes & Chichester MM,"dt/o William Edward Brown and Abigail. She studied at Ackworth School and taught at Sidcot School from 1871 to 1876. She married William Henry Fisher Alexander in 1890 and they visited South Africa, Australia, Tasmania and New Zealand.  She served as an Elder and Overseer and worked for Temperance and the British Womens' Temperance Association and the World Womens' Association."
Alexander,Isaac,"Alexander, Isaac",,,,1705-12-12,"Killington, England","Aba, England",male,,"s/o Thomas and Alice Alexander, born in 1680.  He was ""convinced"" in 1694 and became a Minister in 1697.  He visited Yorkshire in 1698 and then on to London.  He visited all of the Meetings in Scotland.  He visited the South and West of England and after 3 years he visited Meetings in Ireland, and most of those in England and Wales.  He died near Kendal."
Alexander,Isabella,"Alexander, Isabella",Fisher,"Fisher, Isabella",,1901-02-17,"Limerick, Ireland","Peckham, England",female,Southwark MM,"dt/o Benjamin Clark and Mary Fisher, born in 1821.  She married Samuel Alexander of Limerick in 1842 and lived there for 20 years.  She was recorded a Minister in 1866 and in 1867 they moved to London.  In both 1872 and 1877 they visited Ireland.  She worked in the Bible Society.  In 1876 they traveled through Bristol and Somerset Quarterly Meeting."
Alexander,Joseph,"Alexander, Joseph",,,1831-12-19,1912-01-28,"Ipswich, Suffolk, England","Sudbury, Suffolk, England",male,Colchester MM,"s/o William Henry Alexander and Sophia (Alexander).  He studied at Lawrence Street and Bootham School.  He married Mercy Elizabeth Robson, (1830-1893), dt/o John Stephenson Robson, at Saffron Walden, on 8/8/1860.  He was recorded a Minister on 5/11/1887 by Colchester Monthly Meeting.  He supported the Adult School at Sudbury and the temperance movement as president of the Sudbury Temperance League.  He also served as secretary of the Bible Society.  He was active in civic affairs.  He was buried at Sudbury on 31 January."
Alexander,Joseph Gundry,"Alexander, Joseph Gundry",,,1848-04-20,1918-02-26,"Bath, England","Tunbridge Wells, England",male,Lewes & Chichester MM,"s/o Samuel and Sarah (Gundry) Alexander.  He studied international law under J. Bevan Braithwaite and earned the LL.B. degree.  He lived in Paris for several years and was with the McCall Mission and visited the Vaudois Valleys, Switzerland, Belgium and Brittany.  He married Josephine Crosfield of Reigate in 1881 and they had 4 sons.  He was secretary of the Anti-Opium Society and visited India and China and was for 25 years the Editor of ""The Friend of China"".  In 1897 he was recorded a Minister and served as a member of the Friends Foreign Mission Board."
Alexander,Josephine,"Alexander, Josephine",Crosfield,"Crosfield, Josephine",1851-01-20,1940-12-21,"Liverpool, England","Reigate, England",female,,"dt/o Joseph Crosfield, who served as Clerk of the London Yearly Meeting and was active in Quaker relief work.  She married Joseph Gundry Alexander in 1881 and they had 4 sons and she traveled with him to France."
Alexander,Martha,"Alexander, Martha",Biddle,"Biddle, Martha",1727-01-13,1775-09-18,"Esher, Surrey, England","Woodbridge, England",female,Ipswich MM,"dt/o John and Abigail Biddle.  She married Dykes Alexander in 1747/8, of Needham Market, Suffolk, and they had 8 children.  She became a Minister in about 1750 and in 1752 with Mary Kirby they visited Friends in London.  In 1753 she visited the Isle of Ely with Margaret Marsham.  In 1771, with Mary Gurney, she visited Norfolk and in 1774 the Quarterly Meetings of Lincoln and York.  She was buried at Needham Market."
Alexander,Mary,"Alexander, Mary",,,1760-02-07,1809-12-04,"Needham Market, England","Worcester, England",female,Woodbridge MM,"dt/o Dykes and Martha (Biddle) Alexander.  She became a Minister in June of 1789 and served for about 21 years.  She visited many counties in England, Wales, the Isle of Man and Scotland.  She died at the home of her nephew Thomas Burlington and was interred at Sansom Field, Worcester, 7 December."
Alexander,Mary,"Alexander, Mary",,,1758-09-13,1833-11-17,"Tottenham, England","Kelvedon, Essex, England",female,Coggeshall MM,"dt/o James and Priscilla Alexander, Members of Friends.  She moved to Coggeshall in 1781 and in 1782 became a Minister.  She traveled with Mary Proud, Rebecca Byrd and others to Surrey, Sussex and Kent in 1798."
Alexander,Mary Jane,"Alexander, Mary Jane",Binyon,"Binyon, Mary Jane",1844-04-17,1911-01-12,"Manchester, England","Felixstowe, England",female,Felixstowe MM,"dt/o Edward and Jane Binyon.  She studied at the Mount School, York.  She married Samuel Alexander of Ipswich in 1866.  She served as President of Walton Womens Adult School and the British Womens Temperance Association and was on the Committee of Felixstowe Cottage Hospital."
Alexander,Rebecca Biddle,"Alexander, Rebecca Biddle",,,1817-02-11,1887-04-15,"Needham Market, Suffolk, England","Dover, England",female,,"dt/o Samuel Alexander and Rebecca (Biddle).  Although quite deaf she held classes for children and an evening school for boys.  She was interested in the cause of temperance and in later years at Dover she kept up a large Band of Hope, which met weekly in the Friends' Meeting House."
Alexander,Richard Dykes,"Alexander, Richard Dykes",,,1788-08-15,1866-02-24,"Ipswich, Suffolk, England","Ipswich, Suffolk, England",male,Ipswich MM,"s/o Dykes Alexander and Hannah (Brewster).  He married Ann Dillwyn, (1784-1868), dt/o William and Sarah Dillwyn, at Tottenham, on 9/27/1810.  He served as an Elder and occupied a leading position in the Ipswich Meeting.  He had a long standing interest in temperance and built a temperance hall near his home."
Alexander,Samuel,"Alexander, Samuel",,,1749-10-07,1824-12-15,"Needham Market, Suffolk, England","Needham Market, Suffolk, England",male,Woodbridge MM,"s/o Dykes Alexander and Martha (Biddle).  He married Elizabeth Gurney, (11/22/1747-6/12/1786), dt/o John and Lucy Gurney, at Norwich, on 7/14/1772, and they had 6 children.  He became a Minister in about 1789 and served for about 35 years.  He visited in his Quarterly Meeting and various other parts of England.  He attended London Yearly Meeting and visited Scotland twice.  He was buried at Needham Market."
Alexander,Samuel,"Alexander, Samuel",,,1818-12-10,1907-03-01,"Limerick, Ireland","New Cross, London, England",male,Southwark MM,"s/o Edward Alexander and Jenepher (Fisher).  He studied at Newtown School, Waterford.  He married Isabella Fisher, (1821-1901), dt/o Benjamin Clark and Mary Fisher, in 1842 and they had 6 children.  They moved to London in 1867.  He was recorded a Minister by Westminster & Longford Monthly Meeting in February 1872 and served for about 13 years.  He visited Meetings around London and also visited Ireland and Scotland and Friends' Schools."
Alexander,Samuel Joseph,"Alexander, Samuel Joseph",,,1841-07-23,1930-04-24,"Bath, England",Bournemouth,male,Bournemouth MM,"s/o Samuel Alexander and Sarah (Gundry).  He married ? Turner, sister of William Edward Turner, Editor of the ""British Friend"".  He was acknowledged a Minister and traveled to the Syria, Palestine, Italy, Algeria and Southern France."
Alexander,Sarah,"Alexander, Sarah",Gundry,"Gundry, Sarah",1809-01-14,1860-04-22,"Calne, Wiltshire, England","Leominster, England",female,Hereford & Radnor MM,"dt/o Joseph Fry and Martha (Naish) Gundry.  She married Samuel Alexander, (1809-1884) in 1835 and lived in Gloucester, Cirencester and Bath.    In 1855 they moved to Leominster.  She became a Minister in 1857 and visited mostly in her own Quarterly Meeting area."
Alexander,Sophia,"Alexander, Sophia",Alexander,"Alexander, Sophia",,1865-11-25,"Ipswich, Suffolk, England","Ipswich, Suffolk, England",female,Woodbridge MM,"dt/o Samuel and Rebecca Alexander, born in 1806.  She married William Henry Alexander, (d. 1864), in 1830 and in 1834 she was recorded a Minister by Woodbridge Monthly Meeting and served for about 38 years.  In 1837 she visited York Meeting and then to Essex, Kent, Norfolk and Norwich.  She helped establish the Friends First Day School at Ipswich and served as Clerk of the Women's Monthly and Quarterly Meetings.  She was buried in Ipswich Cemetery on 1st December."
Alexander,Victor William,"Alexander, Victor William",,,1887-04-06,1963-01-14,"Highgate, England","Low Park, Loweswater, England",male,Pardshaw MM,"s/o Edward A. and Coralie Ida Casilda (Zwicker) Alexander.  He studied and taught at Bootham School for 14 years.  He retired from teaching at Lancaster and Cockermouth Grammar School and devoted his time to serve in Friends Meeting and Quaker Schools, including Brookfield School.  He served in Meeting for Sufferingss and the Central Committees.  He married Elizsabeth Trefaine Cullen in 1927 and they had 2 children."
Alexander,William,"Alexander, William",,,1768-01-03,1841-04-02,"Needham Market, Suffolk, England","York, England",male,,"s/o Dykes and Martha (Biddle) Alexander.  He studied at Wandsworth School.  He married Ann Tuke, (1767-1849), of York and in 1808 they took charge of the school for girls in York.  In 1813 he began the publishing of ""The Annual Monitor""."
Alexander,William Henry,"Alexander, William Henry",,,1799-05-04,1864-01-14,"Needham Market, Suffolk, England","Bank House, Ipswich, Suffolk, England",male,,"s/o William D. and Ann (Tuke) Alexander.  He studied Greek, Latin, botany and geology.  He married Sophia Alexander, (1806-1865), (she became a Minister), dt/o Samuel and Rebecca Alexander. at Ipswich, on 6/2/1830, and they had 6 children.  He served in the Meetings for Discipline.  He served as an Alderman, member of the Town Council."
Alexander,William Henry Fisher,"Alexander, William Henry Fisher",,,1855-03-15,1941-06-15,"Limerick, Ireland","Worthing, Sussex, England",male,Pontefract MM,"s/o Samuel Alexander and Isabella (Fisher).  He studied at Newtown School, Waterford, Sidcot School and Flounders Institute and University College, London.  He married Harriette Brown, (1855-1937), dt/o William Edward Brown, at Halstead, Essex, on 3/27/1890.  He served as an Elder and was recorded a Minister by Pontefract Monthly Meeting on 11/8/1886.  His special contribution was connecting Friends in South Africa, Australia and New Zealand with the main body of the London Yearly Meeting.  He and his wife made many trips overseas to help in that effort.  In 1931 they settled in Worthing."
Allan,Janet,"Allan, Janet",McPherson,"McPherson, Janet",,1900-12-09,"Carse of Gowrie, Scotland","Broughty Ferry, Dundee, Scotland",female,Dundee MM,"dt/o David McPherson, born ca. 1810.  Her mother died in 1824 and Janet became the ""mother"" of the family.  She married Bailie James Allan in 1829.  She joined Friends at Dundee and founded the Dundee Meeting.  She became a Minister in ca. 1849 and served for over 50 years.  She worked with the British Women's Temperance Association."
