Name(s) of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",Place(State),"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
Tobe,31,31,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Toney,30,30,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Stephen,23,23,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Sol [alias Solomon],11,21,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Peter,4,21,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Daniel,?,21,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,no age given for Daniel,WGC,WGC
Sal [alias Sarah],30+,30+,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Poll [alias Mary],20,20,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Rachel ,12,18,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Cate [alias Catherine],8,18,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Sall [alias Sarah 2],2,18,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Pegg [alias Margaret],2,18,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Sinah,1,18,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Lucy,40,40,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
John,29,29,male,7,A00179697_006,1782-03-13,Newcastle County,DE,"Liston, William",,male,"Gorbit, Daniel; 
Gorbit, Israel",,Duck Creek,,,,WGC,WGC
Perry,14,21,male,7,A00179697_006,1782-03-13,Newcastle County,DE,"Liston, William",,male,"Gorbit, Daniel; 
Gorbit, Israel",,Duck Creek,,,,WGC,WGC
Dover,>36,>36,male,7-8,A00179697_007,1782-04-17,"Misipillion Hundred, 
Kent County",DE,"Soden, Annaretter",,female,"Ronland, Isaiah; 
Soden, William; 
Mifflin, Warner",,Duck Creek,,,name of enslaved person is cut off,WGC,WGC
Latisha,27,27,female,7-8,A00179697_007,1782-04-17,"Misipillion Hundred, 
Kent County",DE,"Soden, Annaretter",,female,"Ronland, Isaiah; 
Soden, William; 
Mifflin, Warner",,Duck Creek,,,name of enslaved person is cut off,WGC,WGC
John(?),50,50,male,8-9,A00179697_008,1782-12-14,Caroline County,MD,"Robertson, Daniel",,male,"Emerson, Jacob; 
Robertosn, John",,Duck Creek,,,,WGC,WGC
Richard,31,31,male,9,A00179697_009,1782-12-23,Kent County,DE,"Griffin, Issac",,,"Pattison, Sam; 
Wallace, Josiah",,Duck Creek,,,,WGC,WGC
Jacob,27,27,male,9,A00179697_009,1782-12-23,Kent County,DE,"Griffin, Issac",,,"Pattison, Sam; 
Wallace, Josiah",,Duck Creek,,,,WGC,WGC
Jemina,38,38,female,9,A00179697_009,1782-12-23,Kent County,DE,"Griffin, Issac",,,"Pattison, Sam; 
Wallace, Josiah",,Duck Creek,,,,WGC,WGC
Sampson,40,40,male,9,A00179697_009,1782-12-23,Kent County,DE,"Griffin, Issac",,,"Pattison, Sam; 
Wallace, Josiah",,Duck Creek,,,,WGC,WGC
Hesse,14,18,female,10,A00179697_010,1778-01-28,"Murderkill Hundred, 
Kent County",DE,"Draper, Issac",,male,"Mifflin, Warner; 
Mifflin, Elizabeth",,Duck Creek,,,,WGC,WGC
Margaret,?,time of manumission,female,11-12,A00179697_011,1778-02-06,"Murderkill Hundred, 
Kent County",DE,"Atkinson, William",,male,"Mifflin, Warner; 
Roberts, William; 
Weyatt, Susanna
Weyatt, Mark",,Duck Creek,,,"mother of minta, adam, and elizabeth",WGC,WGC
Minta,14,18,female,11-12,A00179697_011,1778-02-06,"Murderkill Hundred, 
Kent County",DE,"Atkinson, William",,male,"Mifflin, Warner; 
Roberts, William; 
Weyatt, Susanna
Weyatt, Mark",,Duck Creek,,,child of margaret,WGC,WGC
Adam,7,21,male,11-12,A00179697_011,1778-02-06,"Murderkill Hundred, 
Kent County",DE,"Atkinson, William",,male,"Mifflin, Warner; 
Roberts, William; 
Weyatt, Susanna
Weyatt, Mark",,Duck Creek,,,child of margaret,WGC,WGC
Elizabeth,4,18,female,11-12,A00179697_011,1778-02-06,"Murderkill Hundred, 
Kent County",DE,"Atkinson, William",,male,"Mifflin, Warner; 
Roberts, William; 
Weyatt, Susanna
Weyatt, Mark",,Duck Creek,,,child of margaret,WGC,WGC
Dinah,31,31,female,12-13,A00179697_012,1778-04-10,_,_,"Donnham, Richard; 
Donnham; Issac",,male,"Gilder, John; 
Mifflin, Warner",,Duck Creek,,,"location not specified, probably DE

Dinah is the mother of Rose",WGC,WGC
Rose,<1,18,female,12-13,A00179697_012,1778-04-10,_,_,"Donnham, Richard; 
Donnham; Issac",,male,"Gilder, John; 
Mifflin, Warner",,Duck Creek,,,"location not specified, probably DE

daughter of Dinah",WGC,WGC
Latisha,47,47,female,13,A00179697_013,1778-04-13,Dover,DE,"Parke, Thomas",,male,"Mifflin, Warner; 
Jane Parke; 
Mary Rush",,Duck Creek,,,,WGC,WGC
Rachel,23,23,female,14-15,A00179697_014,1778-04-27,Kent County,DE,"Needham, Ezekiel",,male,"Congille, John; 
Mifflin, Warner",,Duck Creek,,,"Rachel is mother of Julia, Susa, Johnathan",WGC,WGC
Julia,?,time of manumission ,female,14-15,A00179697_014,1778-04-27,Kent County,DE,"Needham, Ezekiel",,male,"Congille, John; 
Mifflin, Warner",,Duck Creek,,,"age not listed, child of Rachel",WGC,WGC
Susa,?,time of manumission ,female,14-15,A00179697_014,1778-04-27,Kent County,DE,"Needham, Ezekiel",,male,"Congille, John; 
Mifflin, Warner",,Duck Creek,,,"age not listed, child of Rachel",WGC,WGC
Johnathan,?,time of manumission ,male,14-15,A00179697_014,1778-04-27,Kent County,DE,"Needham, Ezekiel",,male,"Congille, John; 
Mifflin, Warner",,Duck Creek,,,"age not listed, child of Rachel",WGC,WGC
Caesar,28,28,male,14-15,A00179697_014,1778-04-27,Kent County,DE,"Needham, Ezekiel",,male,"Congille, John; 
Mifflin, Warner",,Duck Creek,,,child of Rachel,WGC,WGC
Jack,24,24,male,14-15,A00179697_014,1778-04-27,Kent County,DE,"Needham, Ezekiel",,male,"Congille, John; 
Mifflin, Warner",,Duck Creek,,,child of Rachel,WGC,WGC
Grace,?,18,female,15-16,A00179697_015,1778-04-27,Sussex County,DE,"Ronland, John",,male,"Mifflin, Warner; 
Congille, John; 
Shepard, Tho.","Shepard, Thomas",Duck Creek,,,"ages of Grace not listed, assumed 
<18 ",WGC,WGC
Dollar,?,21,male,15-16,A00179697_015,1778-04-27,Sussex County,DE,"Ronland, John",,male,"Mifflin, Warner; 
Congille, John; 
Shepard, Tho.","Shepard, Thomas",Duck Creek,,,"age not listed, assumed <21",WGC,WGC
Jane,?,time of manumission,female,16,A00179697_016,1781-01-02,Kent County,DE,"Hynn, John",,male,"Mifflin, Daniel; 
Jenkins, Joseph",,Duck Creek,,,"Jane's age is left blank

family:
Jane is the mother of William, Eve, Rachel, and James",WGC,WGC
William,7,21,male,16,A00179697_016,1781-01-02,Kent County,DE,"Hynn, John",,male,"Mifflin, Daniel; 
Jenkins, Joseph",,Duck Creek,,,child of Jane,WGC,WGC
Eve,between 2-6,18,female,16,A00179697_016,1781-01-02,Kent County,DE,"Hynn, John",,male,"Mifflin, Daniel; 
Jenkins, Joseph",,Duck Creek,,,child of Jane,WGC,WGC
Rachel,2,18,female,16,A00179697_016,1781-01-02,Kent County,DE,"Hynn, John",,male,"Mifflin, Daniel; 
Jenkins, Joseph",,Duck Creek,,,child of Jane,WGC,WGC
James,<1,21,male,16,A00179697_016,1781-01-02,Kent County,DE,"Hynn, John",,male,"Mifflin, Daniel; 
Jenkins, Joseph",,Duck Creek,,,child of Jane,WGC,WGC
Caesar,?,time of manumission,male,17,A00179697_016,1779-01-06,Sussex County,DE,"Ronland, John",,male,"Warner, Mifflin; 
Sarah Ronland",,Duck Creek,,,"Caesar's age not specified, assumed >21",WGC,WGC
Jude,29,29,female,17-18,A00179697_017,1770-03-17,"Murderhill Hundred, 
Kent County",DE,"Jarrell, James",,male,"Mifflin, Warner; 
Newport, Jesse; 
Eleasar Jarrell",,Duck Creek,,,"Family:
Jude is the mother of Sabina and Grace",WGC,WGC
Sabina,4,18,female,17-18,A00179697_017,1770-03-17,"Murderhill Hundred, 
Kent County",DE,"Jarrell, James",,male,"Mifflin, Warner; 
Newport, Jesse; 
Eleasar Jarrell",,Duck Creek,,,child of Jude,WGC,WGC
Grace,16 months,18,female,17-18,A00179697_017,1770-03-17,"Murderhill Hundred, 
Kent County",DE,"Jarrell, James",,male,"Mifflin, Warner; 
Newport, Jesse; 
Eleasar Jarrell",,Duck Creek,,,child of Jude,WGC,WGC
Sylvia,>40,>41,female,18-19,A00179697_018,1779-05-27,_,DE,"Ennalls, Catharine",,female,"Bassett, Ann; 
Mifflin, Warner",,Duck Creek,,,"location not specified, probably Kent, DE",WGC,WGC
Esther,16,18,female,19-20,A00179697_019,1779-12-16,_,DE,"Draper, Sarah",,female,"Emerson, Johnathan; 
Bonman, Thomas; 
Bonman, Elizabeth; 
Bonman, Jemima; 
Mifflin, Warner",,Duck Creek,,,"location not specified, perhaps Murderkill 
like Issac Bonman",WGC,WGC
Anthony ,9,21,male,19-20,A00179697_019,1779-12-16,_,DE,"Draper, Sarah",,female,"Emerson, Johnathan; 
Bonman, Thomas; 
Bonman, Elizabeth; 
Bonman, Jemima; 
Mifflin, Warner",,Duck Creek,,,"location not specified, perhaps Murderkill 
like Issac Bonman",WGC,WGC
Rhonda,18,18,female,20-21,A00179697_020,1779-12-16,"Misipillion Hundred, 
Kent County",DE,"Bonman, Elizabeth",,female,"Emerson, Johnathan; 
Bonman, Thomas; 
Bonman, Elizabeth; 
Bonman, Jemima; 
Mifflin, Warner; 
Draper, Elizabeth",,Duck Creek,,,,WGC,WGC
Jude,16,18,female,21-22,A00179697_021,1779-12-16,_,DE,Bonman; Jemima,,female,"Emerson, Johnathan; 
Bonman, Thomas; 
Bonman, Elizabeth; 
Bonman, Jemima; 
Mifflin, Warner; 
Bonman, Elizabeth",,Duck Creek,,,,WGC,WGC
Mary,37,37,female,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,"ages for Pompey, Poll, Ann, Dollar, Caesar,
Phillip, and George not listed but assumed
to be <18

family:
Mary is the mother of Pompey, Poll, Ann, Dollar, Caesar,
Phillip, Sarah, and Robert",WGC,WGC
Pompey ,?,21,male,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,child of Mary,WGC,WGC
Ann,?,18,female,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,child of Mary,WGC,WGC
Dollar,?,21,male,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,child of Mary,WGC,WGC
Caesar,?,21,male,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,child of Mary,WGC,WGC
Phillip,?,21,male,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,child of Mary,WGC,WGC
Sarah,4,18,female,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,child of Mary,WGC,WGC
Robert,~2,21,male,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,child of Mary,WGC,WGC
George,27,27,male,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,,WGC,WGC
George,?,21,male,22-24,A00179697_022,1779-12-17,_,DE,"Manlowe, Matthew; 
Manlowe, Jemima;
Manlowe, Susana; 
Manlowe, Mary",,"male, female","Mifflin, Warner; 
Caldwell, Sarah; 
Caldwell, Timothy",,Duck Creek,,,,WGC,WGC
Phebe,29,29,female,24,A00179697_024,1779-12-25,Kent County,DE,"Tilton, Nehemiah",,male,"Hanson, Eliz.; 
Mifflin, Warner","Hanson, Elizabeth",Duck Creek,,,,WGC,WGC
Hazard,_,16,male,25,A00179697_025,1779-04-05,"Brandywine Hundred, 
Newcastle County",DE,"Nandiver, Peter",,male,"James, John; 
Shipley, Wm.","Shipley, William",Duck Creek,,,"age for Hazard not explicitly written but
manumission says ""should he be set at his
liberty in six years"" and agrees to free him at
16",WGC,WGC
Sarah,18+(Sarah); ,18+(Sarah); ,female,26,A00179697_026,1780-02-18,Kent County,DE,"Bond, Jos.","Bond, Joseph",male,"Bonness, William; 
Purdin, Andrew",,Duck Creek,,,,WGC,WGC
King,70,70,male,26-27,A00179697_027,1780-03-14,Kent County,DE,"Ennalls, Mary",,female,"Hillyard, Charles; 
Hillyard, Eliz.; 
Bassett, Ann; 
Mifflin, Warner","Hillard, Elizabeth",Duck Creek,,,,WGC,WGC
Cuffee,20,20,male,26-27,A00179697_027,1780-03-14,Kent County,DE,"Ennalls, Mary",,female,"Hillyard, Charles; 
Hillyard, Eliz.; 
Bassett, Ann; 
Mifflin, Warner","Hillard, Elizabeth",Duck Creek,,,,WGC,WGC
Frank,27,27,male,27-28,A00179697_027,1780-04-03,"Jones Hundred, 
Kent County",DE,"Maxwell, Naomi",,female,"Mifflin, Warner; 
Mifflin, Eliz.","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Roger,25,25,male,27-28,A00179697_027,1780-04-03,"Jones Hundred, 
Kent County",DE,"Maxwell, Naomi",,female,"Mifflin, Warner; 
Mifflin, Eliz.","Mifflin, Elizabeth",Duck Creek,,,,WGC,WGC
Phillip,?,time of manumission writing,male,28-29,A00179697_028,1780-04-26,Sussex County,DE,"Bayley, Sarah",,female,"Mifflin, Warner",,Duck Creek,,,"age for Phillip not listed but he is reffered to
as ""boy"" so probably a minor",WGC,WGC
Harry,?,time of manumission writing,male,29,A00179697_029,1780-08-05,_,DE,"Beauchamp, Caston",,male,_,,Duck Creek,,,"location(probably Kent, DE), age of Harry, 
and witnesses not listed",WGC,WGC
Phebe,?,18,"female;
male",29-30,A00179697_029,1780-12-29,Kent County,DE,"Gilder, John",,male,"Mifflin, Warner; 
Jenkins, Joseph",,Duck Creek,,,"age not listed, most likely a minor",WGC,WGC
Charles,?,21,male,29-30,A00179697_029,1780-12-29,Kent County,DE,"Gilder, John",,male,"Mifflin, Warner; 
Jenkins, Joseph",,Duck Creek,,,"age not listed, most likely a minor",WGC,WGC
Hagar,13,18,female,30-31,A00179697_030,1780-12-13,Kent County,DE,"Garland, Benjamin",,,"Jenkins, Joseph",,Duck Creek,,,,WGC,WGC
Esther,?,time of manumission,female,31-32,A00179697_031,1781-06-15,"Murderhill Hundred, 
Kent County",DE,"Gordon, Coe; 
Gordon, Sarah",,male; female,"Coombe, Beny; 
Coombe, Elizabeth; 
Dickinson, John",,Duck Creek,,,Esther is the mother of Catharine,WGC,WGC
Catharine,~2,18,female,31-32,A00179697_031,1781-06-15,"Murderhill Hundred, 
Kent County",DE,"Gordon, Coe; 
Gordon, Sarah",,male; female,"Coombe, Beny; 
Coombe, Elizabeth; 
Dickinson, John",,Duck Creek,,,,WGC,WGC
Minta,9,18,female,31-32,A00179697_031,1781-06-15,"Murderhill Hundred, 
Kent County",DE,"Gordon, Coe; 
Gordon, Sarah",,male; female,"Coombe, Beny; 
Coombe, Elizabeth; 
Dickinson, John",,Duck Creek,,,,WGC,WGC
Rosanna,? ,time of manumission(?),female,32,A00179697_032,1781-03-06,_,DE,"Barns, Stephen",,male ,"Barns, Wm; 
Green, Jane","Barns, William",Duck Creek,,,"location not listed, probably Kent, DE; age of
Rosanna not listed but most likely 21+",WGC,WGC
Sue[alias Susanna],28,28,female,32-33,A00179697_032,1781-03-11,Kent County,DE,"Gordon, John",,male,"Emerson, Manlove; 
Gordon, Hannah; 
Mifflin Warner",,Duck Creek,,,"Sue is the mother of Peter, Charles, Henne, and Jack",WGC,WGC
Peter,8,21,male,32-33,A00179697_032,1781-03-11,Kent County,DE,"Gordon, John",,male,"Emerson, Manlove; 
Gordon, Hannah; 
Mifflin Warner",,Duck Creek,,,child of Sue,WGC,WGC
Charles,5,21,male,32-33,A00179697_032,1781-03-11,Kent County,DE,"Gordon, John",,male,"Emerson, Manlove; 
Gordon, Hannah; 
Mifflin Warner",,Duck Creek,,,child of Sue,WGC,WGC
Henne,2,18,female,32-33,A00179697_032,1781-03-11,Kent County,DE,"Gordon, John",,male,"Emerson, Manlove; 
Gordon, Hannah; 
Mifflin Warner",,Duck Creek,,,child of Sue,WGC,WGC
Jack [alias John],<1,21,male,32-33,A00179697_032,1781-03-11,Kent County,DE,"Gordon, John",,male,"Emerson, Manlove; 
Gordon, Hannah; 
Mifflin Warner",,Duck Creek,,,child of Sue,WGC,WGC
Ruth,25,25,female,33-34,A00179697_033,1781-03-18,_,DE,"Caldwell, Mary",,female,"Mifflin, Warner; 
Caldwell, Esther; 
Caldwell, John",,Duck Creek,,,"location not specified, probably Kent, DE

family:
Ruth is the mother of Hannah",WGC,WGC
