Name of Enslaved Person (Transcribe what is listed),Freed Age,Age listed for Enslaved Person,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",State,"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
Savina,34,34,female,10,A00187000_015,1777-01-07,"Bristol, Bucks County",Pennsylvania,"Brown, John","Brown, John",male,"Moon, James;
Haplen, Thomas;
Brown, John","Moon, James;
Stapler, Thomas;
Brown, John",--,,,,ZM,WGC
"Farmer, Thomas",60,60,male,11,A00187000_016,1777-01-28,"Lower Makefield,
Bucks County",Pennsylvania,"Yardley, Sarah","Yardley, Sarah",female,"Moon, James;
Haplen, Thomas;
Yardley, Sarah","Moon, James;
Stapler, Thomas;
Yardley, Sarah",--,,,,ZM,WGC
"Cuffy, Daniel",55,55,male,12,A00187000_017,1777-01-28,"Lower Makefield,
Bucks County",Pennsylvania,"Yardley, Sarah","Yardley, Sarah",female,"Moon, James;
Haplen, Thomas;
Yardley, Sarah","Moon, James;
Stapler, Thomas;
Yardley, Sarah",--,,,,ZM,WGC
Hager,69,69,female,13,A00187000_018,1777-01-28,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Stapler, Thomas;
Warder, Elizabeth","Moon, James;
Stapler, Thomas;
Warder, Elizabeth",--,,,,ZM,WGC
Peter,49,49,male,14,A00187000_019,1777-11-07,"Bristol, Bucks County",Pennsylvania,"Brown, John","Brown, John",male,"Moon, James;
Blakey, William;
Brown, John","Moon, James;
Blakey, William;
Brown, John",--,,,,ZM,WGC
Hannah,18,14,female,15,A00187000_020,1777-11-07,"Bristol, Bucks County",Pennsylvania,"Brown, John","Brown, John",male,"Moon, James;
Blakey, William;
Brown, John","Moon, James;
Blakey, William;
Brown, John",--,,,,ZM,WGC
James,21,8,male,16,A00187000_021,1777-11-07,"Bristol, Bucks County",Pennsylvania,"Brown, John","Brown, John",male,"Moon, James;
Blakey, William;
Brown, John","Moon, James;
Blakey, William;
Brown, John",--,,,,ZM,WGC
Zilpah,23,23,female,17,A00187000_022,1777-11-07,"Falls, Bucks County",Pennsylvania,"Lucas, Robert","Lucas, Robert",male,"Moon, James;
Moon, Moses;
Lucas, Robert","Moon, James;
Moon, Moses;
Lucas, Robert",--,,,,ZM,WGC
Mary,"18
(or age when
her enslaver dies)",4,female,18,A00187000_023,1777-11-12,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Nut, John;
Warder, Elizabeth","Moon, James;
Nut, John;
Warder, Elizabeth",--,,,,ZM,WGC
Dinah,42,42,female,19,A00187000_024,1777-11-12,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Nut, John;
Warder, Elizabeth","Moon, James;
Nut, John;
Warder, Elizabeth",--,,,mother of Ann or Nancy,ZM,WGC
Ann or Nancy,2,2,female,19,A00187000_024,1777-11-12,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Nut, John;
Warder, Elizabeth","Moon, James;
Nut, John;
Warder, Elizabeth",,,,daughter of Dinah,ZM,WGC
Hannah,21,21,female,20,A00187000_025,1777-11-12,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Nut, John;
Warder, Elizabeth","Moon, James;
Nut, John;
Warder, Elizabeth",--,,,mother of Sarah,ZM,WGC
Sarah,2,2,female,20,A00187000_025,1777-11-12,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Nut, John;
Warder, Elizabeth","Moon, James;
Nut, John;
Warder, Elizabeth",--,,,daughter of Hannah,,
Aaron,24,24,male,21,A00187000_026,1778-04-01,"Upper Makefield,
Bucks County",Pennsylvania,"Burroughs, John","Burroughs, John",male,"Moon, James;
Burroughs, John","Moon, James;
Burroughs, John",--,,,,ZM,WGC
Moses,23,23,male,22,A00187000_027,1778-04-01,"Upper Makefield,
Bucks County",Pennsylvania,"Burroughs, John","Burroughs, John",male,"Moon, James;
Burroughs, John","Moon, James;
Burroughs, John",--,,,,ZM,WGC
Virgil,40,40,male,23,A00187000_028,1781-01-15,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth","Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth",--,,,,ZM,WGC
"Williams, Fanny",20,20,female,24,A00187000_029,1781-01-15,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth","Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth",--,,,,ZM,WGC
"Williams, Hager",18,17,female,25,A00187000_030,1781-01-15,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth","Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth;
Bidgood, William",--,,,,ZM,WGC
"Cary, Amy",18,14,female,26,A00187000_031,1781-01-15,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth","Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth;
Bidgood, William",--,,,,ZM,WGC
"Williams, Aaron",21,14,male,27,A00187000_032,1781-01-15,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth","Moon, James;
Kirkbride, Jonathan;
Warder, Elizabeth;
Bidgood, William",--,,,,ZM,WGC
"Williams, Ruth",20,20,female,28,A00187000_033,1781-09-07,"Lower Makefield,
Bucks County",Pennsylvania,"Warder, Elizabeth","Warder, Elizabeth",female,"Moon, James;
Blakey, William;
Warder, Elizabeth","Moon, James;
Blakey, William;
Warder, Elizabeth",--,,,,ZM,WGC
Rose,40,40,female,29,A00187000_034,1780-04-29,"Bristol, Bucks County",Pennsylvania,"Allen, Rebecca","Allen, Rebecca",female,"Moon, James;
Buckley, Phins.;
Allen, Rebekah","Moon, James;
Buckley, Phineas;
Allen, Rebekah",--,,,,ZM,WGC
Samuel,22,22,male,30,A00187000_035,1780-04-29,"Bristol, Bucks County",Pennsylvania,"Allen, Rebecca","Allen, Rebecca",female,"Moon, James;
Buckley, Phins.;
Allen, Rebekah","Moon, James;
Buckley, Phineas;
Allen, Rebekah",--,,,,ZM,WGC
Martha,18,17,female,31,A00187000_036,1780-04-29,"Bristol, Bucks County",Pennsylvania,"Allen, Rebecca","Allen, Rebecca",female,"Moon, James;
Buckley, Phins.;
Allen, Rebekah","Moon, James;
Buckley, Phineas;
Allen, Rebekah",--,,,,ZM,WGC
Rachel,18,11,female,32,A00187000_037,1780-04-29,"Bristol, Bucks County",Pennsylvania,"Allen, Rebecca","Allen, Rebecca",female,"Moon, James;
Buckley, Phins.;
Allen, Rebekah","Moon, James;
Buckley, Phineas;
Allen, Rebekah",--,,,,ZM,WGC
Prince,32,32,male,33,A00187000_038,1777-11-25,"Southhampton,
 Bucks County",Pennsylvania,"Willet, Jonathan","Willet, Jonathan",male,"Blakey, William;
Mitchell, Sarah;
Willet, Jonth.","Blakey, William;
Mitchell, Sarah;
Willet, Jonathan",--,,,,ZM,WGC
Ishamel,55,55,male,34,A00187000_039,1777-08-03,"Middletown,
Bucks County",Pennsylvania,"Stackhouse, Isaac","Stackhouse, Isaac",male,"Richardson, William;
Paxson, Jonathan;
Stackhouse, Isaac","Richardson, William;
Paxson, Jonathan;
Stackhouse, Isaac",--,,,,ZM,WGC
James,53,53,male,35,A00187000_040,1777-09-24,"Middletown,
Bucks County",Pennsylvania,"Jenks, Jonathan","Jenks, Jonathan",male,"Richardson, William;
Haplen, Thomas;
Jenks, Jonathan","Richardson, William;
Haplen, Thomas;
Jenks, Jonathan",--,,,,ZM,WGC
Ishamel,52,52,male,36,A00187000_041,1776-03-08,"Northampton, 
Bucks County",Pennsylvania,"Plumly, John","Plumly, John",male,"Waln, Nicholas;
Plumly, William;
Plumly, John","Waln, Nicholas;
Plumly, William;
Plumly, John",--,,,,ZM,WGC
Joseph,66,66,male,37,A00187000_042,1776-03-08,"Middletown,
Bucks County",Pennsylvania,"Richardson, Joshua","Richardson, Joshua",male,"Waln, Nicholas;
Richardson, William;
Richardson, Joshua","Waln, Nicholas;
Richardson, William;
Richardson, Joshua",--,,,,ZM,WGC
"Sylvia;
Rebekah",25,25,female,38,A00187000_043,1777-10-31,"Northampton, 
Bucks County",Pennsylvania,"Thornton, Joseph","Thornton, Joseph",male,"Stapler, Thomas;
Wildman, James;
Wilson, Thomas;
Richardson, William","Stapler, Thomas;
Wildman, James;
Wilson, Thomas;
Richardson, William",--,,,mother to Rebekah,ZM,WGC
Rebekah,7 months,7 months,female,38,A00187000_043,1777-10-31,"Northampton, 
Bucks County",Pennsylvania,"Thornton, Joseph","Thornton, Joseph",male,"Stapler, Thomas;
Wildman, James;
Wilson, Thomas;
Richardson, William","Stapler, Thomas;
Wildman, James;
Wilson, Thomas;
Richardson, William",--,,,daughter of Sylvia,ZM,WGC
Matillo,--,--,female,40,A00187000_045,1776-07-27,"Middletown,
Bucks County",Pennsylvania,"Paxson, William","Paxson, William",male,"Moon, James;
Blakey, William;
Paxson, Joseph;
Paxson, Maklon;
Paxson, William","Moon, James;
Blakey, William;
Paxson, Joseph;
Paxson, Maklon;
Paxson, William",--,,,,ZM,WGC
Cudjo,100,100,male,41,A00187000_046,1776-03-08,"Northampton, 
Bucks County",Pennsylvania,"Plumly, John","Plumly, John",male,"Waln, Nicholas;
Plumly, John","Waln, Nicholas;
Plumly, John",--,,,,ZM,WGC
"Davenport, Joseph",22,22,male,42,A00187000_047,1776-03-08,"Middletown,
Bucks County",Pennsylvania,"Richardson, Joshua","Richardson, Joshua",male,"Waln, Nicholas;
Rihchardson, William;
Richardson, Joshua","Waln, Nicholas;
Rihchardson, William;
Richardson, Joshua",--,,,,ZM,WGC
"Jackson, Phebe",31,31,female,43,A00187000_048,1793-02-01,"Lower Makefield,
Bucks County",Pennsylvania,"Winder, James","Winder, James",male,"Moon, James;
Moon, Moses","Moon, James;
Moon, Moses",--,,,,ZM,WGC
"Smith, Dinah",18,17,female,44,A00187000_049,1793-02-01,"Lower Makefield,
Bucks County",Pennsylvania,"Winder, James","Winder, James",male,"Moon, James;
Moon, Moses","Moon, James;
Moon, Moses",--,,,,ZM,WGC
"Smith, Archibald",21,13,male,45,A00187000_050,1793-02-01,"Lower Makefield,
Bucks County",Pennsylvania,"Winder, James","Winder, James",male,"Moon, James;
Moon, Moses","Moon, James;
Moon, Moses",--,,,,ZM,WGC
"Smith, Charles",21,6,male,46,A00187000_051,1793-02-01,"Lower Makefield,
Bucks County",Pennsylvania,"Winder, James","Winder, James",male,"Moon, James;
Moon, Moses","Moon, James;
Moon, Moses",--,,,,ZM,WGC
"Jackson, William",21,3,male,47,A00187000_052,1793-02-01,"Lower Makefield,
Bucks County",Pennsylvania,"Winder, James","Winder, James",male,"Moon, James;
Moon, Moses","Moon, James;
Moon, Moses",--,,,,ZM,WGC
"Johnson, Gabriel",29,29,male,49,A00187000_054,1777-06-09,Newtown,Pennsylvania,"Jenny, Thomas","Jenny, Thomas",male,"Smith, Samuel;
Blakey, William","Smith, Samuel;
Blakey, William",--,,,,ZM,WGC
Dinah,--,--,female,50,A00187000_055,1778-01-06,Upper Makefield,Pennsylvania,"Beaumont, John","Beaumont, John",male,"Hayhurst, John;
Smith, Samuel","Hayhurst, John;
Smith, Samuel",--,,,,ZM,WGC
Hannah Patience Paxton,18,13,female,51,A00187000_056,1778-07-27,Northampton,Pennsylvania,"Leedom, Richard","Leedom, Richard",male,"Smith, Samuel;
Watson, Jno.","Smith, Samuel;
Watson, John",--,,,,ZM,WGC
Rebekah,33,33,female,61,A00187000_066,1776-08-03,Solebury,Pennsylvania,"Arnitage, Samuel;
Armitage, Mary","Arnitage, Samuel;
Armitage, Mary",male; female,"Eastburn, Samuel;
Watson, Thos.","Eastburn, Samuel;
Watson, Thomas",--,,,,ZM,WGC
Peter,21,19,male,62,A00187000_067,1776-08-03,"Amwell, 
Hunterdon County",New Jersey,"Molcomb, Richard","Molcomb, Richard",male,"Eastburn, Samuel;
Watson, Thos.","Eastburn, Samuel;
Watson, Thomas",--,,,,ZM,WGC
John Solomon,21,15,male,63,A00187000_068,1776-08-03,Solebury,Pennsylvania,"Schofield, Jonathan","Schofield, Jonathan",male,"Eastburn, Samuel;
Watson, Thos.","Eastburn, Samuel;
Watson, Thomas",--,,,"On page 64, this is edited to free John Solomon immediately",ZM,WGC
Rebekah,35,35,female,65,A00187000_070,1776-08-03,--,--,"Simcock, Matthias","Simcock, Matthias",male,"Gillingham, Joseph;
Benson, Oliver","Gillingham, Joseph;
Benson, Oliver",--,,,,ZM,WGC
Jude,18,15,female,66,A00187000_071,1779-06-07,Buckingham,Pennsylvania,"Harrold, Samuel","Harrold, Samuel",male,"Watson, Thomas;
Gillingham, John","Watson, Thomas;
Gillingham, John",--,,,,ZM,WGC
Mary Bawtrum,"free @ 18
indentured until 31",under 18,female,68;69,"A00187000_073;
A00187000_074",1777-06-14,Upper Makefield,Pennsylvania,"Chapman, John;
Chapman, Mercy","Chapman, John;
Chapman, Mercy",male; female,"Hayhurst, John;
Smith, Samuel;
Moon, James;
Moon, Moses","Hayhurst, John;
Smith, Samuel;
Moon, James;
Moon, Moses",--,,,,ZM,WGC
Prince,20,20,male,70,A00187000_075,1781-02-27,Upper Makefield,Pennsylvania,"Harvye, Matthias","Harvye, Matthias",male,"Wiggins, Benjamin;
Hayhurst, John;","Wiggins, Benjamin;
Hayhurst, John;",--,,,,ZM,WGC
Jesse,21,almost 16,male,71,A00187000_076,1781-06-13,Buckingham,Pennsylvania,"Malone, Patrick","Malone, Patrick",male,"Watson, Thomas;
Simpson, John;
Paxson, Jacob;
Malone, Hannah ","Watson, Thomas;
Simpson, John;
Paxson, Jacob;
Malone, Hannah ",--,,,,ZM,WGC
